actorId,actorName
0762997,Pierre Sanoussi-Bliss
0901908,Michael von Au
0873142,Elisabeth Trissenaar
0622581,Ingo Naujoks
0000347,Tim Curry
0766837,Jennifer Saunders
0084107,Kevin Bishop
0324397,Dave Goelz
0877258,Christy Turlington
0015823,Azzedine Alaïa
0004714,Giorgio Armani
1193699,Nadja Auermann
0000928,Sandra Bernhard
0732703,James Robinson
0492566,Sean Lawlor
0625729,Sandy Nelson
0181920,James Cosmo
0569336,Sean McGinley
0007958,Diahnne Abbott
0012524,Frank Adu
0034519,Victor Argo
0034082,Gino Ardito
0043039,Garth Avery
0000329,Jackie Chan
0611315,Anita Mui
0948123,Françoise Yip
0876603,Bill Tung
0015224,Marc Akerstream
0000553,Liam Neeson
0000411,Edward Furlong
0919733,Julia Weldon
0000547,Alfred Molina
13779449,Isa Baschwitz
12336445,Mary Bos
1513421,Janny Brandes-Brilslijper
0000335,Glenn Close
0036653,Tobias Arnold
0790689,Ruth Sheen
0516181,Roger Lloyd Pack
0640560,Hugh O'Conor
0138928,Norman Caro
0000572,Sarah Jessica Parker
0769703,Eric Schaeffer
0001774,Ben Stiller
0000512,Elle Macpherson
0714310,James Rebhorn
0000273,Alan Arkin
0001797,Rachel Ticotin
0001592,Joe Pantoliano
0852466,Holland Taylor
0605601,Johnny Morina
0233188,Brian Dooley
0227767,Philip Dinn
0230063,Brian Dodd
0002101,Robin Givens
0000932,Halle Berry
0004979,David Alan Grier
0001454,Martin Lawrence
0510857,Brigitte Lin
0504897,Tony Leung Chiu-wai
0910947,Faye Wong
0437580,Takeshi Kaneshiro
0159513,Valerie Chow
0000099,Patricia Arquette
0000495,Téa Leoni
0001546,Mary Tyler Moore
0001719,George Segal
0725284,Jason James Richter
0443139,Melody Kay
0085312,Jack Black
0278092,Carole Finn
0093174,Ryan Bollman
0169012,Maggie Cogan
0173880,Katina Commings
0001038,Josh Charles
0000162,Anne Heche
0000422,John Goodman
0001441,Christine Lahti
0000325,David Caruso
0001590,Chazz Palminteri
0001077,Richard Crenna
0000299,Michael Biehn
0001288,Kelsey Grammer
0001705,Rob Schneider
0001765,Harry Dean Stanton
0001136,Bruce Dern
0668150,Vivian Paxton
0840066,Claudette Sutherland
0650355,Michael Ornstein
0058786,Cal Bartlett
0825566,Mary Stein
0000602,Robert Redford
0000330,Stockard Channing
0001505,Joe Mantegna
0625075,Kate Nelligan
0001447,Nathan Lane
0001848,Dianne Wiest
0001246,Dan Futterman
0016589,Shari Albert
0000827,Maxine Bahns
0093488,Catharine Bolz
0110168,Connie Britton
0122653,Edward Burns
0102288,Lisa Boyle
0848075,Michael Taliferro
0944687,Emmanuel Xuereb
0001409,Tchéky Karyo
